ID,SEQUENCE,POS,PROJECT,FILE
7097,test explicit join before fetch joins,VB JJ NN IN VB NNS,hibernate-orm,ToManyFetchAndJoinTest.java
7098,test explicit join between fetch joins,VB JJ NN IN VB NNS,hibernate-orm,ToManyFetchAndJoinTest.java
7099,test explicit join after fetch joins,VB JJ NN IN VB NNS,hibernate-orm,ToManyFetchAndJoinTest.java
7100,get annotated classes,VB JJ NNS,hibernate-orm,ToManyFetchAndJoinTest.java
7101,get b 1,VB FW CD,hibernate-orm,C1.java
7102,set b 1,VB FW CD,hibernate-orm,C1.java
7103,get id,VB NN,hibernate-orm,C1.java
7104,set id,VB NN,hibernate-orm,C1.java
7105,get entity entry,VB NN NN,hibernate-orm,FlushEntityEvent.java
7106,get database snapshot,VB NN NN,hibernate-orm,FlushEntityEvent.java
7107,set database snapshot,VBN NN NN,hibernate-orm,FlushEntityEvent.java
7108,has database snapshot,VBZ NN NN,hibernate-orm,FlushEntityEvent.java
7109,is dirty check handled by interceptor,VBZ JJ NN VBN IN NN,hibernate-orm,FlushEntityEvent.java
7110,set dirty check handled by interceptor,VB JJ NN VBN IN NN,hibernate-orm,FlushEntityEvent.java
7111,is dirty check possible,VBZ JJ NN JJ,hibernate-orm,FlushEntityEvent.java
7112,set dirty check possible,VB JJ NN JJ,hibernate-orm,FlushEntityEvent.java
7113,get dirty properties,VB JJ NNS,hibernate-orm,FlushEntityEvent.java
7114,set dirty properties,VB JJ NNS,hibernate-orm,FlushEntityEvent.java
7115,has dirty collection,VB JJ NN,hibernate-orm,FlushEntityEvent.java
7116,set has dirty collection,VB VBZ JJ NN,hibernate-orm,FlushEntityEvent.java
7117,get property values,VB NN NNS,hibernate-orm,FlushEntityEvent.java
7118,set property values,VB NN NNS,hibernate-orm,FlushEntityEvent.java
7119,get entity,VB NN,hibernate-orm,FlushEntityEvent.java
7120,register default tuplizer class,VB NN NN NN,hibernate-orm,EntityTuplizerFactory.java
7121,construct tuplizer,VB NN,hibernate-orm,EntityTuplizerFactory.java
7122,construct tuplizer,VB NN,hibernate-orm,EntityTuplizerFactory.java
7123,construct default tuplizer,VB NN NN,hibernate-orm,EntityTuplizerFactory.java
7124,is entity tuplizer implementor,VBZ NN NN NN,hibernate-orm,EntityTuplizerFactory.java
7125,has proper constructor,VBZ JJ NN,hibernate-orm,EntityTuplizerFactory.java
7126,get proper constructor,VB JJ NN,hibernate-orm,EntityTuplizerFactory.java
7127,build base mapping,VB JJ NN,hibernate-orm,EntityTuplizerFactory.java
7128,get jta parameters,VB NNP NNS,hibernate-orm,AbstractNonFunctionalTest.java
7129,get cache mode parameters,VB NN NN NNS,hibernate-orm,AbstractNonFunctionalTest.java
7130,prepare cache support,VB NN NN,hibernate-orm,AbstractNonFunctionalTest.java
7131,release cach support,VB NN NN,hibernate-orm,AbstractNonFunctionalTest.java
7132,can use local mode,VB VB JJ NN,hibernate-orm,AbstractNonFunctionalTest.java
7133,with tx,IN FW,hibernate-orm,AbstractNonFunctionalTest.java
7134,register cache,VB NN,hibernate-orm,AbstractNonFunctionalTest.java
7135,unregister cache,VB NN,hibernate-orm,AbstractNonFunctionalTest.java
7136,register factory,VB NN,hibernate-orm,AbstractNonFunctionalTest.java
7137,unregister factory,VB NN,hibernate-orm,AbstractNonFunctionalTest.java
7138,get cache test support,VB NN NN NN,hibernate-orm,AbstractNonFunctionalTest.java
7139,sleep,VB,hibernate-orm,AbstractNonFunctionalTest.java
7140,avoid concurrent flush,VB JJ NN,hibernate-orm,AbstractNonFunctionalTest.java
7141,create standard service registry builder,VB JJ NN NN NN,hibernate-orm,AbstractNonFunctionalTest.java
7142,get region factory class,VB NN NN NN,hibernate-orm,AbstractNonFunctionalTest.java
7143,lock,VB,hibernate-orm,PessimisticForceIncrementLockingStrategy.java
7144,get lock mode,VB VB NN,hibernate-orm,PessimisticForceIncrementLockingStrategy.java
7145,normalize quoting,VB NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7146,to identifier,TO NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7147,to identifier,TO NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7148,apply global quoting,VB JJ NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7149,is reserved word,VBZ VBN NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7150,to meta data catalog name,TO JJ NNS NN NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7151,to meta data text,TO JJ NNS NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7152,to meta data schema name,TO JJ NNS NNS NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7153,to meta data object name,TO JJ NNS VBP NN,hibernate-orm,NormalizingIdentifierHelperImpl.java
7154,get mappings,VB NNS,hibernate-orm,CompositePropertyRefTest.java
7155,configure,VB,hibernate-orm,CompositePropertyRefTest.java
7156,test one to one property ref,VB CD TO CD NN NN,hibernate-orm,CompositePropertyRefTest.java
7157,get registration keys,VB NN NNS,hibernate-orm,CompositeCustomType.java
7158,get user type,VB NN NN,hibernate-orm,CompositeCustomType.java
7159,is method of,VBZ NN IN,hibernate-orm,CompositeCustomType.java
7160,get subtypes,VB NNS,hibernate-orm,CompositeCustomType.java
7161,get property names,VB NN NNS,hibernate-orm,CompositeCustomType.java
7162,get property index,VB NN NN,hibernate-orm,CompositeCustomType.java
7163,get property values,VB NN NNS,hibernate-orm,CompositeCustomType.java
7164,get property values,VB NN NNS,hibernate-orm,CompositeCustomType.java
7165,set property values,VB NN NNS,hibernate-orm,CompositeCustomType.java
7166,get property value,VB NN NN,hibernate-orm,CompositeCustomType.java
7167,get property value,VB NN NN,hibernate-orm,CompositeCustomType.java
7168,get cascade style,VB NN NN,hibernate-orm,CompositeCustomType.java
7169,get fetch mode,VB VB NN,hibernate-orm,CompositeCustomType.java
7170,is component type,VBZ NN NN,hibernate-orm,CompositeCustomType.java
7171,deep copy,JJ NN,hibernate-orm,CompositeCustomType.java
7172,assemble,VB,hibernate-orm,CompositeCustomType.java
7173,disassemble,VB,hibernate-orm,CompositeCustomType.java
7174,replace,VB,hibernate-orm,CompositeCustomType.java
7175,is equal,VBZ JJ,hibernate-orm,CompositeCustomType.java
7176,get hash code,VB NN NN,hibernate-orm,CompositeCustomType.java
7177,get column span,VB NN NN,hibernate-orm,CompositeCustomType.java
7178,get name,VB NN,hibernate-orm,CompositeCustomType.java
7179,get returned class,VB VBN NN,hibernate-orm,CompositeCustomType.java
7180,is mutable,VBZ JJ,hibernate-orm,CompositeCustomType.java
7181,null safe get,JJ JJ VB,hibernate-orm,CompositeCustomType.java
7182,null safe get,JJ JJ VB,hibernate-orm,CompositeCustomType.java
7183,null safe set,JJ JJ VB,hibernate-orm,CompositeCustomType.java
7184,null safe set,JJ JJ VB,hibernate-orm,CompositeCustomType.java
7185,sql types,NNP NNS,hibernate-orm,CompositeCustomType.java
7186,dictated sizes,VBN NNS,hibernate-orm,CompositeCustomType.java
7187,default sizes,NN NNS,hibernate-orm,CompositeCustomType.java
7188,to loggable string,TO JJ NN,hibernate-orm,CompositeCustomType.java
7189,get property nullability,VB NN NN,hibernate-orm,CompositeCustomType.java
7190,to column nullness,TO NN NN,hibernate-orm,CompositeCustomType.java
7191,is dirty,VBZ JJ,hibernate-orm,CompositeCustomType.java
7192,is embedded,VBZ VBN,hibernate-orm,CompositeCustomType.java
7193,has not null property,VBZ RB JJ NN,hibernate-orm,CompositeCustomType.java
7194,string to object,NN TO NN,hibernate-orm,IdentifierType.java
7195,get length,VB NN,hibernate-orm,Length.java
7196,get f,VB FW,hibernate-orm,E.java
7197,set f,VB FW,hibernate-orm,E.java
7198,on post insert commit failed,IN IN VB VB JJ,hibernate-orm,PostCommitInsertEventListener.java
7199,find,VB,hibernate-orm,MockConnectionFinder.java
7200,get code,VB NN,hibernate-orm,UsState.java
7201,set code,VB NN,hibernate-orm,UsState.java
7202,get id,VB NN,hibernate-orm,Panel.java
7203,set id,VB NN,hibernate-orm,Panel.java
7204,get client id,VB NN NN,hibernate-orm,Panel.java
7205,set client id,VB NN NN,hibernate-orm,Panel.java
7206,get delta stamp,VB NN NN,hibernate-orm,Panel.java
7207,set delta stamp,VB NN NN,hibernate-orm,Panel.java
7208,info string,NN NN,hibernate-orm,MessageHelper.java
7209,info string,NN NN,hibernate-orm,MessageHelper.java
7210,info string,NN NN,hibernate-orm,MessageHelper.java
7211,info string,NN NN,hibernate-orm,MessageHelper.java
7212,info string,NN NN,hibernate-orm,MessageHelper.java
7213,info string,NN NN,hibernate-orm,MessageHelper.java
7214,collection info string,NN NN NN,hibernate-orm,MessageHelper.java
7215,collection info string,NN NN NN,hibernate-orm,MessageHelper.java
7216,collection info string,NN NN NN,hibernate-orm,MessageHelper.java
7217,add id to collection info string,VB NN TO NN NN NN,hibernate-orm,MessageHelper.java
7218,collection info string,NN NN NN,hibernate-orm,MessageHelper.java
7219,merge blob,VB NNP,hibernate-orm,LobMergeStrategy.java
7220,merge clob,VB NNP,hibernate-orm,LobMergeStrategy.java
7221,merge n clob,VB NN NNP,hibernate-orm,LobMergeStrategy.java
7222,are match,VBP NN,hibernate-orm,EventListenerGroupImpl.java
7223,get action,VB NN,hibernate-orm,EventListenerGroupImpl.java
7224,get event type,VB NN NN,hibernate-orm,EventListenerGroupImpl.java
7225,is empty,VBZ JJ,hibernate-orm,EventListenerGroupImpl.java
7226,count,VB,hibernate-orm,EventListenerGroupImpl.java
7227,clear,VB,hibernate-orm,EventListenerGroupImpl.java
7228,add duplication strategy,VB NN NN,hibernate-orm,EventListenerGroupImpl.java
7229,listeners,NNS,hibernate-orm,EventListenerGroupImpl.java
7230,append listeners,VB NNS,hibernate-orm,EventListenerGroupImpl.java
7231,append listener,VB NN,hibernate-orm,EventListenerGroupImpl.java
7232,prepend listeners,VB NNS,hibernate-orm,EventListenerGroupImpl.java
7233,prepend listener,VB NN,hibernate-orm,EventListenerGroupImpl.java
7234,listener should get added,NN MD VB VBN,hibernate-orm,EventListenerGroupImpl.java
7235,internal prepend,JJ VB,hibernate-orm,EventListenerGroupImpl.java
7236,check against base interface,VB IN NN NN,hibernate-orm,EventListenerGroupImpl.java
7237,internal append,JJ VB,hibernate-orm,EventListenerGroupImpl.java
7238,test no loss,VB DT NN,hibernate-orm,BasicFormatterTest.java
7239,assert no loss,VB DT NN,hibernate-orm,BasicFormatterTest.java
7240,convert string,VB NN,hibernate-orm,TestConsole.java
7241,convert string to integer,VB NN TO NN,hibernate-orm,TestConsole.java
7242,print person,VB NN,hibernate-orm,TestConsole.java
7243,print persons,VB NNS,hibernate-orm,TestConsole.java
7244,print person history,VB NN NN,hibernate-orm,TestConsole.java
7245,print person at revision,VB NN IN NN,hibernate-orm,TestConsole.java
7246,read and set address,VB CC VB NN,hibernate-orm,TestConsole.java
7247,read new person,VB JJ NN,hibernate-orm,TestConsole.java
7248,read modify person,VB VB NN,hibernate-orm,TestConsole.java
7249,print address,VB NN,hibernate-orm,TestConsole.java
7250,print addresses,VB NNS,hibernate-orm,TestConsole.java
7251,print address history,VB NN NN,hibernate-orm,TestConsole.java
7252,print address at revision,VB NN IN NN,hibernate-orm,TestConsole.java
7253,read new address,VB JJ NN,hibernate-orm,TestConsole.java
7254,read modify address,VB NN NN,hibernate-orm,TestConsole.java
7255,start,VB,hibernate-orm,TestConsole.java
7256,has data,VBZ NNS,hibernate-orm,TestConsole.java
7257,populate test data,VB NN NNS,hibernate-orm,TestConsole.java
7258,main,NN,hibernate-orm,TestConsole.java
7259,get alias,VB NNS,hibernate-orm,DynamicFilterAliasGenerator.java
7260,test auto quoting disabled,VB NN VBG VBN,hibernate-orm,IdentifierHelperTest.java
7261,sql types,NNP NNS,hibernate-orm,CustomEnumUserType.java
7262,returned class,VBN NN,hibernate-orm,CustomEnumUserType.java
7263,equals,VBZ,hibernate-orm,CustomEnumUserType.java
7264,hash code,NN NN,hibernate-orm,CustomEnumUserType.java
7265,null safe get,JJ JJ VB,hibernate-orm,CustomEnumUserType.java
7266,null safe set,JJ JJ VB,hibernate-orm,CustomEnumUserType.java
7267,deep copy,RB VB,hibernate-orm,CustomEnumUserType.java
7268,is mutable,VBZ JJ,hibernate-orm,CustomEnumUserType.java
7269,disassemble,VB,hibernate-orm,CustomEnumUserType.java
7270,assemble,VB,hibernate-orm,CustomEnumUserType.java
7271,replace,VB,hibernate-orm,CustomEnumUserType.java
7272,to sql string,TO NNP NN,hibernate-orm,Criterion.java
7273,get typed values,VB VBN NNS,hibernate-orm,Criterion.java
7274,get id,VB NN,hibernate-orm,TargetNotAuditedEntity.java
7275,set id,VB NN,hibernate-orm,TargetNotAuditedEntity.java
7276,get data,VB NNS,hibernate-orm,TargetNotAuditedEntity.java
7277,set data,VB NNS,hibernate-orm,TargetNotAuditedEntity.java
7278,get reference,VB NN,hibernate-orm,TargetNotAuditedEntity.java
7279,set reference,VB NN,hibernate-orm,TargetNotAuditedEntity.java
7280,equals,VBZ,hibernate-orm,TargetNotAuditedEntity.java
7281,hash code,NN NN,hibernate-orm,TargetNotAuditedEntity.java
7282,to string,TO NN,hibernate-orm,TargetNotAuditedEntity.java
7283,get namespace uri,VB NN NNP,hibernate-orm,LocalSchema.java
7284,get current version,VB JJ NN,hibernate-orm,LocalSchema.java
7285,get schema,VB NN,hibernate-orm,LocalSchema.java
7286,resolve local schema,VB JJ NN,hibernate-orm,LocalSchema.java
7287,resolve local schema url,VB JJ NN NN,hibernate-orm,LocalSchema.java
7288,resolve local schema,VB JJ NN,hibernate-orm,LocalSchema.java
7289,get annotated classes,VB VBN NNS,hibernate-orm,PropertyAccessType.java
7290,init data,VB NNS,hibernate-orm,PropertyAccessType.java
7291,test revisions counts,VB NNS NNS,hibernate-orm,PropertyAccessType.java
7292,test history of id 1,VB NN IN NN CD,hibernate-orm,PropertyAccessType.java
7293,get mappings,VB NNS,hibernate-orm,OptionalJoinTest.java
7294,test update non null optional join to diff non null,VB NN RB JJ JJ NN TO JJ RB JJ,hibernate-orm,OptionalJoinTest.java
7295,test update non null optional join to diff non null detached,VB NN RB JJ JJ NN TO JJ RB JJ VBN,hibernate-orm,OptionalJoinTest.java
7296,test merge non null optional join to diff non null detached,VB NN RB JJ JJ NN TO JJ RB JJ VBN,hibernate-orm,OptionalJoinTest.java
7297,test update non null optional join to null,VB NN RB JJ JJ NN TO JJ,hibernate-orm,OptionalJoinTest.java
7298,test update non null optional join to null detached,VB NN RB JJ JJ NN TO JJ VBN,hibernate-orm,OptionalJoinTest.java
7299,test merge non null optional join to null detached,VB VB RB JJ JJ NN TO JJ VBN,hibernate-orm,OptionalJoinTest.java
7300,test update null optional join to non null,VB NN RB JJ NN TO RB JJ,hibernate-orm,OptionalJoinTest.java
7301,test update null optional join to non null detached,VB NN RB JJ NN TO RB JJ VBN,hibernate-orm,OptionalJoinTest.java
7302,test merge null optional join to non null detached,VB VB RB JJ NN TO RB JJ VBN,hibernate-orm,OptionalJoinTest.java
7303,generate cache key,VB NN NN,hibernate-orm,NaturalIdRegionAccessStrategy.java
7304,get natural id values,VB JJ NN NNS,hibernate-orm,NaturalIdRegionAccessStrategy.java
7305,get region,VB NN,hibernate-orm,NaturalIdRegionAccessStrategy.java
7306,insert,VB,hibernate-orm,NaturalIdRegionAccessStrategy.java
7307,after insert,IN VB,hibernate-orm,NaturalIdRegionAccessStrategy.java
7308,update,VB,hibernate-orm,NaturalIdRegionAccessStrategy.java
7309,after update,IN VB,hibernate-orm,NaturalIdRegionAccessStrategy.java
7310,class to table name,NN TO NN NN,hibernate-orm,AlternativeNamingStrategy.java
7311,property to column name,NN TO NN NN,hibernate-orm,AlternativeNamingStrategy.java
7312,table name,NN NN,hibernate-orm,AlternativeNamingStrategy.java
7313,column name,NN NN,hibernate-orm,AlternativeNamingStrategy.java
7314,property to table name,NN TO NN NN,hibernate-orm,AlternativeNamingStrategy.java
7315,logical column name,JJ NN NN,hibernate-orm,AlternativeNamingStrategy.java
7316,collection table name,NN NN NN,hibernate-orm,AlternativeNamingStrategy.java
7317,logical collection tablel name,JJ NN NN NN,hibernate-orm,AlternativeNamingStrategy.java
7318,logical collection column name,JJ NN NN NN,hibernate-orm,AlternativeNamingStrategy.java
7319,resolve index,VB NN,hibernate-orm,IdentNode.java
7320,resolve,VB,hibernate-orm,IdentNode.java
7321,resolve as alias,VB IN NN,hibernate-orm,IdentNode.java
7322,get naked property type,VB JJ NN NN,hibernate-orm,IdentNode.java
7323,resolve as naked property ref,VB IN JJ NN NN,hibernate-orm,IdentNode.java
7324,resolve as naked component property ref lhs,NN IN JJ NN NN NN NNP,hibernate-orm,IdentNode.java
7325,resolve as naked component property ref rhs,NN IN JJ NN NN NN NNP,hibernate-orm,IdentNode.java
7326,locate single from element,VB JJ IN NN,hibernate-orm,IdentNode.java
7327,get data type,VB NNS NN,hibernate-orm,IdentNode.java
7328,set scalar column text,VB JJ NN NN,hibernate-orm,IdentNode.java
7329,get display text,VB JJ NN,hibernate-orm,IdentNode.java
7330,get id,VB NN,hibernate-orm,SameIdTestEntity1.java
7331,set id,VB NN,hibernate-orm,SameIdTestEntity1.java
7332,get str 1,VB NN CD,hibernate-orm,SameIdTestEntity1.java
7333,set str 1,VB NN CD,hibernate-orm,SameIdTestEntity1.java
7334,equals,VBZ,hibernate-orm,SameIdTestEntity1.java
7335,hash code,NN NN,hibernate-orm,SameIdTestEntity1.java
7336,get unique counter,VB JJ NN,hibernate-orm,FkSecondPass.java
7337,get value,VB NN,hibernate-orm,FkSecondPass.java
7338,equals,VBZ,hibernate-orm,FkSecondPass.java
7339,hash code,NN NN,hibernate-orm,FkSecondPass.java
7340,get referenced entity name,VB JJ NN NN,hibernate-orm,FkSecondPass.java
7341,is in primary key,VBZ IN JJ NN,hibernate-orm,FkSecondPass.java
7342,get sql type,VB NNP NN,hibernate-orm,BlobTypeDescriptor.java
7343,can be remapped,MD VB VBN,hibernate-orm,BlobTypeDescriptor.java
7344,get extractor,VB NN,hibernate-orm,BlobTypeDescriptor.java
7345,do extract,VBP VB,hibernate-orm,BlobTypeDescriptor.java
7346,do extract,VBP VB,hibernate-orm,BlobTypeDescriptor.java
7347,do extract,VBP VB,hibernate-orm,BlobTypeDescriptor.java
7348,get blob binder,VB NN NN,hibernate-orm,BlobTypeDescriptor.java
7349,get binder,VB NN,hibernate-orm,BlobTypeDescriptor.java
7350,get blob binder,VB NN NN,hibernate-orm,BlobTypeDescriptor.java
7351,do bind,VB VB,hibernate-orm,BlobTypeDescriptor.java
7352,get blob binder,VB NN NN,hibernate-orm,BlobTypeDescriptor.java
7353,do bind,VB VB,hibernate-orm,BlobTypeDescriptor.java
7354,get blob binder,VB NN NN,hibernate-orm,BlobTypeDescriptor.java
7355,do bind,VB VB,hibernate-orm,BlobTypeDescriptor.java
7356,get blob binder,VB NN NN,hibernate-orm,BlobTypeDescriptor.java
7357,do bind,VB VB,hibernate-orm,BlobTypeDescriptor.java
7358,get suffixed key aliases,VB VBN NN NNS,hibernate-orm,EntityAliases.java
7359,get suffixed discriminator alias,VB VBN NN NN,hibernate-orm,EntityAliases.java
7360,get suffixed version aliases,VB VBN NN NNS,hibernate-orm,EntityAliases.java
7361,get suffixed property aliases,VB VBN NN NNS,hibernate-orm,EntityAliases.java
7362,get suffixed property aliases,VB VBN NN NNS,hibernate-orm,EntityAliases.java
7363,get row id alias,VB NN NN NN,hibernate-orm,EntityAliases.java
7364,get suffix,VB NN,hibernate-orm,EntityAliases.java
7365,get database name,VB NN NN,hibernate-orm,DialectResolutionInfo.java
7366,get database major version,VB NN JJ NN,hibernate-orm,DialectResolutionInfo.java
7367,get database minor version,VB NN JJ NN,hibernate-orm,DialectResolutionInfo.java
7368,get driver name,VB NN NN,hibernate-orm,DialectResolutionInfo.java
7369,get driver major version,VB NN JJ NN,hibernate-orm,DialectResolutionInfo.java
7370,get driver minor version,VB NN JJ NN,hibernate-orm,DialectResolutionInfo.java
7371,get mapped class,VB VBN NN,hibernate-orm,PojoComponentTuplizer.java
7372,get property values,VB NN NNS,hibernate-orm,PojoComponentTuplizer.java
7373,set property values,VB NN NNS,hibernate-orm,PojoComponentTuplizer.java
7374,get parent,VB NN,hibernate-orm,PojoComponentTuplizer.java
7375,has parent property,VBZ NN NN,hibernate-orm,PojoComponentTuplizer.java
7376,is method of,VBZ NN IN,hibernate-orm,PojoComponentTuplizer.java
7377,set parent,VB NN,hibernate-orm,PojoComponentTuplizer.java
7378,build instantiator,VB NN,hibernate-orm,PojoComponentTuplizer.java
7379,build getter,VB NN,hibernate-orm,PojoComponentTuplizer.java
7380,build setter,VB NN,hibernate-orm,PojoComponentTuplizer.java
7381,instantiate,VB,hibernate-orm,PojoComponentTuplizer.java
7382,instantiate,VB,hibernate-orm,PojoComponentTuplizer.java
7383,is instance,VBZ NN,hibernate-orm,PojoComponentTuplizer.java
7384,get color,VB NN,hibernate-orm,Feline.java
7385,set color,VB NN,hibernate-orm,Feline.java
7386,with options,IN NNS,hibernate-orm,SessionFactoryImplementor.java
7387,get type resolver,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7388,get properties,VB NNS,hibernate-orm,SessionFactoryImplementor.java
7389,get uuid,VB NNP,hibernate-orm,SessionFactoryImplementor.java
7390,get entity persister,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7391,get entity persisters,VB NN NNS,hibernate-orm,SessionFactoryImplementor.java
7392,get collection persister,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7393,get collection persisters,VB NN NNS,hibernate-orm,SessionFactoryImplementor.java
7394,get jdbc services,VB NNP NNS,hibernate-orm,SessionFactoryImplementor.java
7395,get dialect,VB NN,hibernate-orm,SessionFactoryImplementor.java
7396,get interceptor,VB NN,hibernate-orm,SessionFactoryImplementor.java
7397,get query plan cache,VB NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7398,get return types,VB NN NNS,hibernate-orm,SessionFactoryImplementor.java
7399,get return aliases,VB NN NNS,hibernate-orm,SessionFactoryImplementor.java
7400,get implementors,VB NNS,hibernate-orm,SessionFactoryImplementor.java
7401,get imported class name,VB VBN NN NN,hibernate-orm,SessionFactoryImplementor.java
7402,get query cache,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7403,get query cache,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7404,get update timestamps cache,VB NN NNS NN,hibernate-orm,SessionFactoryImplementor.java
7405,get statistics implementor,VB NNS NN,hibernate-orm,SessionFactoryImplementor.java
7406,get named query,VB VBN NN,hibernate-orm,SessionFactoryImplementor.java
7407,register named query definition,VB VBN NN NN,hibernate-orm,SessionFactoryImplementor.java
7408,get named sql query,VB VBN NNP NN,hibernate-orm,SessionFactoryImplementor.java
7409,register named sql query definition,VB VBN NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7410,get result set mapping,VB NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7411,get identifier generator,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7412,get second level cache region,VB JJ NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7413,get second level cache region access strategy,VB JJ NN NN NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7414,get natural id cache region,VB JJ NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7415,get natural id cache region access strategy,VB JJ NN NN NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7416,get all second level cache regions,VB DT JJ NN NN NNS,hibernate-orm,SessionFactoryImplementor.java
7417,get sql exception converter,VB NNP NN NN,hibernate-orm,SessionFactoryImplementor.java
7418,get sql exception helper,VB NNP NN NN,hibernate-orm,SessionFactoryImplementor.java
7419,get settings,VB NNS,hibernate-orm,SessionFactoryImplementor.java
7420,open temporary session,VB JJ NN,hibernate-orm,SessionFactoryImplementor.java
7421,get collection roles by entity participant,VB NN NNS IN NN NN,hibernate-orm,SessionFactoryImplementor.java
7422,get entity not found delegate,VB NN RB VBN NN,hibernate-orm,SessionFactoryImplementor.java
7423,get sql function registry,VB NNP NN NN,hibernate-orm,SessionFactoryImplementor.java
7424,get fetch profile,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7425,get service registry,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7426,add observer,VB NN,hibernate-orm,SessionFactoryImplementor.java
7427,get custom entity dirtiness strategy,VB JJ NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7428,get current tenant identifier resolver,VB JJ NN NN NN,hibernate-orm,SessionFactoryImplementor.java
7429,get named query repository,VB VBN NN NN,hibernate-orm,SessionFactoryImplementor.java
7430,iterate entity name resolvers,VB NN NN NNS,hibernate-orm,SessionFactoryImplementor.java
7431,locate entity persister,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7432,locate entity persister,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7433,resolve,VB,hibernate-orm,SessionFactoryImplementor.java
7434,get deserialization resolver,VB NN NN,hibernate-orm,SessionFactoryImplementor.java
7435,get column name,VB NN NN,hibernate-orm,ColumnReference.java
7436,get annotated classes,VB VBN NNS,hibernate-orm,JoinMulIdNaming.java
7437,init data,VB NNS,hibernate-orm,JoinMulIdNaming.java
7438,test revisions counts,VB NNS NNS,hibernate-orm,JoinMulIdNaming.java
7439,test history of ed id 1,VB NN IN NN NN CD,hibernate-orm,JoinMulIdNaming.java
7440,test history of ed id 2,VB NN IN NN NN CD,hibernate-orm,JoinMulIdNaming.java
7441,test history of ing id 1,VB NN IN NN NN CD,hibernate-orm,JoinMulIdNaming.java
7442,test join column names,VB VB NN NNS,hibernate-orm,JoinMulIdNaming.java
7443,get operand,VB NN,hibernate-orm,NullnessPredicate.java
7444,register parameters,VB NNS,hibernate-orm,NullnessPredicate.java
7445,render,VB,hibernate-orm,NullnessPredicate.java
7446,check,VB,hibernate-orm,NullnessPredicate.java
7447,get type,VB NN,hibernate-orm,DependantValue.java
7448,set type using reflection,VB NN VBG NN,hibernate-orm,DependantValue.java
7449,accept,VB,hibernate-orm,DependantValue.java
7450,is nullable,VBZ JJ,hibernate-orm,DependantValue.java
7451,set nullable,VB JJ,hibernate-orm,DependantValue.java
7452,is updateable,VBZ JJ,hibernate-orm,DependantValue.java
7453,set updateable,VB JJ,hibernate-orm,DependantValue.java
7454,get id,VB NN,hibernate-orm,DBTimestamped.java
7455,set id,VB NN,hibernate-orm,DBTimestamped.java
7456,get last update,VB JJ NN,hibernate-orm,DBTimestamped.java
7457,set last update,VB JJ NN,hibernate-orm,DBTimestamped.java
7458,get list attribute,VB JJ NN,hibernate-orm,ListIndexExpression.java
7459,register parameters,VB NNS,hibernate-orm,ListIndexExpression.java
7460,render,VB,hibernate-orm,ListIndexExpression.java
7461,render projection,VB NN,hibernate-orm,ListIndexExpression.java
7462,test simple element,VB JJ NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7463,test composite element,VB JJ NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7464,test attributed join,VB VBN NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7465,test lazy collection of elements,VB JJ NN IN NNS,hibernate-orm,DefaultNamingCollectionElementTest.java
7466,test fetch eager and filter,VB VB JJ CC NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7467,test map key type,VB NN NN NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7468,test default value column for basic,VB NN NN NN IN JJ,hibernate-orm,DefaultNamingCollectionElementTest.java
7469,is default value collection column present,VBZ NN NN NN NN NN,hibernate-orm,DefaultNamingCollectionElementTest.java
7470,is collection column present,VBZ NN NN JJ,hibernate-orm,DefaultNamingCollectionElementTest.java
7471,test default table name no overrides,VB NN NN NN DT VBZ,hibernate-orm,DefaultNamingCollectionElementTest.java
7472,test default table name owner primary table override,VB NN NN NN NN JJ NN VB,hibernate-orm,DefaultNamingCollectionElementTest.java
